,type,length_comment,var_length,links_count,qm_count,exm_count,img_count,music_count,dots_count,ht_count,me_count,I-E,N-S,T-F,J-P
22,ENTJ,23.84,0.18549902212654262,0.1,0.26,0.4,0.0,0.0,0.6,0.0,3.54,0,0,1,0
23,INFP,13.04,0.19379993229316733,0.0,0.18,0.08,0.02,0.06,0.6,0.0,1.22,1,0,0,1
24,ENTJ,21.72,0.1840306188040887,0.1,0.24,0.1,0.02,0.0,0.78,0.0,1.86,0,0,1,0
25,INFP,21.94,0.18997462021331962,0.06,0.22,0.22,0.0,0.02,0.6,0.0,2.46,1,0,0,1
26,ENFP,35.16,0.18950028551639353,0.0,0.02,0.24,0.0,0.0,1.46,0.0,4.22,0,0,0,1
27,ISFP,18.1,0.19236020627323874,0.02,0.16,0.24,0.0,0.02,0.24,0.0,1.32,1,1,0,1
28,INFP,29.08,0.18813057117559367,0.0,0.2,0.12,0.0,0.02,0.96,0.0,3.44,1,0,0,1
29,INFJ,31.4,0.18187203670133642,0.06,0.12,0.14,0.0,0.0,0.84,0.02,3.7,1,0,0,0
30,INFP,32.12,0.19151256682178394,0.0,0.12,0.14,0.0,0.0,0.92,0.0,4.74,1,0,0,1
31,INFJ,19.68,0.1857978112793261,0.0,0.5,0.48,0.0,0.0,0.1,0.0,2.36,1,0,0,0
32,INTP,23.16,0.17743735144435235,0.0,0.28,0.08,0.0,0.0,0.5,0.0,2.76,1,0,1,1
33,INFJ,27.32,0.18444324699332784,0.02,0.2,0.06,0.0,0.0,0.62,0.04,3.72,1,0,0,0
34,ENFJ,20.54,0.18617950321403504,0.06,0.22,0.24,0.0,0.06,0.4,0.0,2.08,0,0,0,0
35,INFJ,7.14,0.18482593075085985,0.56,0.52,0.06,0.02,0.0,0.2,0.02,0.86,1,0,0,0
36,INTJ,29.3,0.18152692628878617,0.08,0.16,0.18,0.04,0.02,0.9,0.0,3.2,1,0,1,0
37,INFP,29.76,0.1802715039053254,0.08,0.1,0.0,0.0,0.02,0.62,0.02,2.8,1,0,0,1
38,ENFP,27.88,0.18605046959906746,0.06,0.44,0.0,0.0,0.02,0.82,0.0,2.22,0,0,0,1
39,ENTJ,33.12,0.19097706087580218,0.0,0.12,0.52,0.0,0.0,1.5,0.0,3.7,0,0,1,0
40,ISTP,31.34,0.18695169372606996,0.08,0.1,0.04,0.0,0.02,0.74,0.0,3.68,1,1,1,1
41,INFJ,28.26,0.19580625435453677,0.08,0.14,0.16,0.0,0.0,1.12,0.0,3.74,1,0,0,0
42,INTP,20.7,0.18442225239372861,0.0,0.02,0.08,0.0,0.0,0.4,0.0,2.52,1,0,1,1
43,INFP,27.72,0.1875,0.04,0.2,0.14,0.0,0.0,0.64,0.0,3.46,1,0,0,1
44,INTJ,19.26,0.18398802885462287,0.2,0.24,0.02,0.04,0.0,0.24,0.02,2.32,1,0,1,0
45,INTP,30.96,0.18438243306095836,0.08,0.16,0.04,0.0,0.1,0.9,0.0,3.52,1,0,1,1
46,ENTJ,30.7,0.17831575298979205,0.02,0.12,0.18,0.0,0.02,0.88,0.0,2.08,0,0,1,0
47,INFP,29.84,0.18844830298846837,0.0,0.06,0.48,0.0,0.02,0.68,0.0,3.7,1,0,0,1
48,ISFJ,32.7,0.18458819973623947,0.0,0.02,0.04,0.0,0.0,0.92,0.0,3.86,1,1,0,0
49,INTJ,21.96,0.18626946463567018,0.14,0.24,0.0,0.0,0.04,0.38,0.0,2.3,1,0,1,0
50,INTP,29.64,0.1821216192081273,0.0,0.2,0.02,0.0,0.0,0.56,0.0,3.04,1,0,1,1
51,INFP,27.92,0.18580233678052652,0.12,0.24,0.08,0.02,0.06,0.66,0.0,3.42,1,0,0,1
52,ISFJ,27.22,0.1852237727298424,0.06,0.32,0.94,0.0,0.08,0.7,0.0,3.32,1,1,0,0
53,INTP,29.24,0.18699824586654645,0.02,0.26,0.14,0.0,0.0,0.68,0.02,3.26,1,0,1,1
54,INFP,25.42,0.19053782605391356,0.0,0.1,0.14,0.0,0.0,0.64,0.0,2.86,1,0,0,1
55,INFP,19.2,0.1852877808556479,0.06,0.04,0.1,0.0,0.0,0.36,0.04,2.94,1,0,0,1
56,INFP,26.58,0.18556003811529895,0.02,0.02,0.4,0.0,0.02,0.6,0.0,3.5,1,0,0,1
57,ENFJ,25.58,0.18257324587451026,0.06,0.22,0.16,0.0,0.0,0.58,0.0,2.48,0,0,0,0
58,INTP,26.2,0.18027058163039555,0.14,0.12,0.14,0.04,0.0,0.54,0.06,2.92,1,0,1,1
59,INTJ,23.92,0.1757823367955337,0.0,0.16,0.06,0.0,0.0,0.5,0.0,2.22,1,0,1,0
60,INFJ,21.52,0.18387538568031878,0.2,0.24,0.46,0.06,0.0,0.44,0.0,2.84,1,0,0,0
61,INTP,29.4,0.18690926604278932,0.08,0.32,0.06,0.08,0.0,0.82,0.0,3.76,1,0,1,1
62,INFP,20.9,0.1825625754378666,0.0,0.04,0.14,0.0,0.0,0.54,0.0,2.56,1,0,0,1
63,INFP,31.86,0.1867578343182373,0.0,0.06,0.14,0.0,0.02,0.88,0.0,3.62,1,0,0,1
64,ENTP,8.62,0.19923601585124218,0.0,0.0,0.0,0.0,0.02,0.08,0.0,1.02,0,0,1,1
65,INTP,32.82,0.17923818567290753,0.0,0.16,0.04,0.0,0.0,0.76,0.0,3.72,1,0,1,1
66,ISFP,24.62,0.18213442664947768,0.06,0.38,0.4,0.0,0.0,1.02,0.02,2.66,1,1,0,1
67,ENFJ,34.46,0.18824501347256778,0.0,0.32,0.52,0.0,0.0,1.42,0.0,4.14,0,0,0,0
68,INFJ,27.16,0.18373289896025682,0.08,0.36,0.14,0.0,0.14,0.82,0.0,3.22,1,0,0,0
69,ENFJ,24.12,0.18613234685335422,0.04,0.26,0.16,0.0,0.02,0.46,0.02,3.08,0,0,0,0
70,INFJ,34.14,0.18055406435332738,0.0,0.12,0.04,0.0,0.04,0.86,0.0,1.96,1,0,0,0
71,INFP,19.42,0.17620088839351572,0.22,0.12,0.0,0.02,0.0,0.44,0.0,2.32,1,0,0,1
72,ENFP,25.72,0.1776404195181042,0.14,0.06,0.0,0.12,0.0,0.54,0.0,2.84,0,0,0,1
73,ISTP,20.54,0.1832459628078461,0.04,0.06,0.02,0.02,0.02,0.4,0.0,1.8,1,1,1,1
74,INFJ,27.7,0.18290267464098156,0.02,0.14,0.22,0.02,0.0,0.92,0.0,3.02,1,0,0,0
75,INTP,21.32,0.1896820240970872,0.0,0.12,0.1,0.0,0.02,0.52,0.0,2.48,1,0,1,1
76,INTJ,31.36,0.17966428556521363,0.0,0.14,0.04,0.0,0.0,0.8,0.0,2.92,1,0,1,0
77,INTJ,22.26,0.17897020518997078,0.02,0.12,0.06,0.02,0.0,0.44,0.0,2.38,1,0,1,0
78,INTJ,32.54,0.17748131823283342,0.04,0.18,0.06,0.02,0.0,0.98,0.02,3.5,1,0,1,0
79,INFP,33.46,0.18559703153007479,0.0,0.32,0.26,0.0,0.0,0.82,0.0,4.06,1,0,0,1
80,INFP,18.44,0.18529110761994635,0.0,0.12,0.02,0.0,0.02,0.42,0.0,1.38,1,0,0,1
81,INFJ,27.1,0.18959505650666686,0.06,0.36,0.3,0.0,0.0,0.56,0.0,3.72,1,0,0,0
82,ENTP,31.44,0.1835096540927576,0.02,0.18,0.0,0.0,0.0,0.88,0.0,2.6,0,0,1,1
83,ENTJ,24.48,0.18562815176249878,0.18,0.46,0.04,0.0,0.0,0.52,0.0,2.54,0,0,1,0
84,INFP,18.18,0.19422172721533518,0.02,0.34,0.04,0.0,0.04,0.8,0.0,1.28,1,0,0,1
85,INTP,15.62,0.18454432261894474,0.04,0.16,0.04,0.0,0.02,0.42,0.0,1.44,1,0,1,1
86,INFP,26.12,0.18463446570605477,0.04,0.18,0.04,0.0,0.0,0.6,0.0,3.3,1,0,0,1
87,ISFJ,15.78,0.19009813856414862,0.04,0.12,0.12,0.02,0.02,0.82,0.0,1.06,1,1,0,0
88,ISTJ,16.8,0.17855357030294808,0.62,0.22,0.12,0.44,0.0,0.28,0.0,2.24,1,1,1,0
89,INTP,29.02,0.17788304907148955,0.02,0.14,0.34,0.0,0.04,0.8,0.0,3.44,1,0,1,1
90,ENTP,27.1,0.17778522715257866,0.06,0.12,0.04,0.06,0.04,0.66,0.02,3.28,0,0,1,1
91,INTP,29.98,0.18517105083355792,0.0,0.34,0.14,0.0,0.12,0.86,0.0,3.26,1,0,1,1
92,ISFP,20.26,0.18715421919355332,0.0,0.3,0.26,0.0,0.12,0.54,0.0,2.82,1,1,0,1
93,ENFJ,9.42,0.19502163572894338,0.02,0.04,0.5,0.0,0.0,0.32,0.0,1.42,0,0,0,0
94,INFJ,17.58,0.19220962864770497,0.0,0.22,0.24,0.0,0.0,0.26,0.0,2.3,1,0,0,0
95,INFP,29.2,0.17947017061093226,0.02,0.32,0.1,0.0,0.02,0.78,0.0,2.48,1,0,0,1
96,INFJ,28.22,0.1829437080875385,0.08,0.08,0.1,0.0,0.02,0.66,0.0,3.6,1,0,0,0
97,INTJ,22.86,0.176076645595972,0.24,0.68,0.0,0.1,0.06,0.6,0.0,1.46,1,0,1,0
98,INFJ,24.02,0.18828620830084183,0.16,0.34,0.28,0.1,0.0,0.7,0.0,2.54,1,0,0,0
99,ENFP,23.66,0.19279124979174,0.08,0.1,0.6,0.02,0.0,0.9,0.04,2.46,0,0,0,1
100,INFP,25.1,0.1846913580246914,0.22,0.26,0.24,0.04,0.0,0.64,0.0,3.3,1,0,0,1
101,INFP,22.48,0.18352620307171386,0.22,0.3,0.04,0.0,0.0,0.48,0.02,2.46,1,0,0,1
102,ENFP,20.04,0.1848350513628514,0.12,0.3,0.16,0.02,0.0,0.5,0.0,1.94,0,0,0,1
103,INFJ,15.64,0.18233163661316582,0.28,0.12,0.12,0.16,0.0,0.46,0.0,1.8,1,0,0,0
104,ISTP,20.18,0.1879269650424933,0.0,0.14,0.08,0.0,0.0,0.64,0.0,1.88,1,1,1,1
105,INFJ,29.76,0.18817023644351952,0.04,0.18,0.44,0.0,0.06,0.72,0.0,4.02,1,0,0,0
106,ISTJ,23.72,0.18475782868303042,0.04,0.24,0.28,0.0,0.0,0.5,0.02,2.22,1,1,1,0
107,ENFJ,29.54,0.17705528515702584,0.04,0.28,0.1,0.0,0.02,0.88,0.0,2.82,0,0,0,0
108,INTP,14.9,0.1800439703968616,0.22,0.24,0.0,0.0,0.0,0.12,0.0,1.42,1,0,1,1
109,INTJ,23.24,0.18566982624671094,0.0,0.38,0.04,0.0,0.0,0.52,0.0,2.28,1,0,1,0
110,ENTP,31.9,0.18794681321161716,0.0,0.34,0.04,0.0,0.0,0.74,0.0,4.06,0,0,1,1
111,INFP,31.08,0.18919530728764414,0.0,0.36,0.62,0.0,0.0,1.24,0.0,4.06,1,0,0,1
112,INFP,29.88,0.18004657256910947,0.04,0.3,0.04,0.0,0.0,0.76,0.0,3.5,1,0,0,1
113,ESTP,13.72,0.18166106763093579,0.16,0.4,0.78,0.06,0.02,0.32,0.0,1.8,0,1,1,1
114,ISTP,26.52,0.18649339195252446,0.0,0.1,0.0,0.0,0.0,0.86,0.0,1.94,1,1,1,1
115,ENFP,26.12,0.1806785874435421,0.14,0.4,0.02,0.0,0.0,0.42,0.0,2.64,0,0,0,1
116,ENTP,25.54,0.1808638485356236,0.0,0.66,0.0,0.0,0.0,0.3,0.0,2.06,0,0,1,1
117,INTP,31.88,0.1812850383569353,0.02,0.22,0.0,0.0,0.0,0.96,0.02,3.68,1,0,1,1
118,INFJ,22.08,0.1830136633300244,0.06,0.28,0.16,0.0,0.0,0.58,0.0,2.82,1,0,0,0
119,ENFP,20.96,0.181933337828093,0.14,0.22,0.48,0.0,0.06,0.42,0.0,2.32,0,0,0,1
120,ENTP,31.82,0.18340448313760807,0.02,0.12,0.34,0.02,0.0,1.08,0.0,2.64,0,0,1,1
121,INTP,9.3,0.18043887673343947,0.02,0.08,0.0,0.0,0.02,0.18,0.0,1.04,1,0,1,1
122,INFJ,25.26,0.1820917732994107,0.02,0.12,0.06,0.0,0.0,0.56,0.0,2.84,1,0,0,0
123,ISTP,21.3,0.18512378484967779,0.16,0.18,0.02,0.1,0.0,0.3,0.0,2.78,1,1,1,1
124,INTP,18.18,0.21378735804848134,0.22,0.3,0.04,0.02,0.02,1.1,0.0,1.0,1,0,1,1
125,INTJ,24.34,0.18769930078685335,0.24,0.22,0.1,0.18,0.0,0.72,0.0,3.22,1,0,1,0
126,ENTP,17.98,0.18931018609404665,0.04,0.28,0.0,0.02,0.0,0.22,0.0,1.26,0,0,1,1
127,INFJ,30.2,0.17591710027523982,0.1,0.24,0.0,0.06,0.0,0.9,0.0,2.7,1,0,0,0
128,INFJ,21.54,0.18650643562483593,0.06,0.32,0.1,0.04,0.0,0.46,0.0,2.52,1,0,0,0
129,INFJ,25.82,0.18005860632536447,0.18,0.26,0.1,0.0,0.0,0.8,0.0,3.16,1,0,0,0
130,ENTJ,20.26,0.18770934502127315,0.0,0.2,0.3,0.0,0.06,0.66,0.0,2.18,0,0,1,0
131,ISFJ,33.44,0.1906338231015208,0.0,0.26,0.32,0.0,0.02,1.68,0.0,4.4,1,1,0,0
132,INFP,29.76,0.1824784590766577,0.04,0.3,0.12,0.02,0.0,0.84,0.0,2.42,1,0,0,1
133,INFJ,19.2,0.18549094286559326,0.08,0.4,0.0,0.0,0.0,0.3,0.0,1.6,1,0,0,0
134,INTP,32.02,0.18806817886997265,0.0,0.16,0.0,0.0,0.0,0.82,0.0,3.84,1,0,1,1
135,INFJ,22.0,0.18361305322291172,0.0,0.16,0.26,0.0,0.0,0.72,0.0,2.56,1,0,0,0
136,INFP,26.94,0.19000668973868912,0.16,0.38,0.12,0.08,0.0,0.74,0.02,3.16,1,0,0,1
137,INTP,27.18,0.1838580271557535,0.04,0.2,0.1,0.0,0.1,0.6,0.0,3.2,1,0,1,1
138,INFP,23.62,0.18811060991359932,0.0,0.16,0.14,0.0,0.0,0.72,0.0,3.1,1,0,0,1
139,ISFP,26.38,0.1851577684120442,0.0,0.24,0.12,0.0,0.02,0.7,0.0,2.6,1,1,0,1
140,INTP,23.96,0.18296333712069043,0.06,0.12,0.0,0.0,0.0,0.56,0.0,2.26,1,0,1,1
141,INFP,17.46,0.19117295211371302,0.14,0.3,0.12,0.02,0.16,0.34,0.08,2.02,1,0,0,1
142,ENFP,17.12,0.19320741116443668,0.02,0.16,0.16,0.0,0.0,0.6,0.06,1.46,0,0,0,1
143,ENFP,26.18,0.18764756996229454,0.18,0.16,0.12,0.08,0.06,0.66,0.0,2.96,0,0,0,1
144,ENTP,28.58,0.18713609974986478,0.02,0.16,0.18,0.0,0.0,0.78,0.02,2.68,0,0,1,1
145,INFJ,25.52,0.19388818193102964,0.0,1.1,0.34,0.0,0.06,0.5,0.0,2.78,1,0,0,0
146,INFJ,21.4,0.17820657309057286,0.04,0.2,0.12,0.0,0.0,0.56,0.0,1.62,1,0,0,0
147,ENTP,13.62,0.18405077717135318,0.02,0.2,0.08,0.02,0.02,0.44,0.0,1.42,0,0,1,1
148,INFP,28.84,0.182889964410334,0.1,0.12,0.28,0.08,0.02,0.68,0.02,2.72,1,0,0,1
149,INFP,12.1,0.18632333074760934,0.12,0.24,0.1,0.0,0.02,0.16,0.0,1.4,1,0,0,1
150,INTP,27.42,0.17623852101460935,0.06,0.1,0.0,0.0,0.12,0.82,0.0,2.98,1,0,1,1
151,INFJ,32.66,0.18372740140711846,0.1,0.3,0.0,0.0,0.02,1.16,0.0,2.94,1,0,0,0
152,ENFP,26.12,0.1891823794780048,0.12,0.16,0.2,0.06,0.0,0.64,0.0,3.02,0,0,0,1
153,ENFP,23.96,0.18729056144247247,0.08,0.16,0.32,0.02,0.04,0.88,0.0,2.56,0,0,0,1
154,INTP,19.3,0.18134294276345705,0.04,0.2,0.12,0.0,0.0,0.48,0.02,1.4,1,0,1,1
155,ENTP,7.54,0.18448410504967847,0.0,0.1,0.0,0.0,0.0,0.18,0.0,0.8,0,0,1,1
156,INTJ,28.14,0.17951394374078183,0.0,0.22,0.02,0.0,0.0,0.7,0.0,3.48,1,0,1,0
157,INTP,13.82,0.18639003817928923,0.0,0.14,0.0,0.0,0.0,0.28,0.0,2.12,1,0,1,1
158,ENTP,14.16,0.17508005817566719,0.48,0.24,0.08,0.3,0.0,0.24,0.0,0.98,0,0,1,1
159,ENFP,13.84,0.18166567983603238,0.52,0.5,0.04,0.02,0.0,0.34,0.0,1.36,0,0,0,1
160,ESTP,28.22,0.19068610505132563,0.0,0.4,0.0,0.0,0.0,0.6,0.0,3.38,0,1,1,1
161,INTJ,22.84,0.17910131189518447,0.18,0.16,0.04,0.04,0.0,0.52,0.06,1.76,1,0,1,0
162,INTP,19.24,0.17811644206701785,0.02,0.22,0.0,0.0,0.0,0.46,0.0,1.94,1,0,1,1
163,ENTP,25.56,0.18968001616983826,0.16,0.36,0.16,0.0,0.02,0.96,0.0,3.1,0,0,1,1
164,INFP,27.88,0.187636009147877,0.2,0.36,0.3,0.08,0.0,0.86,0.0,3.4,1,0,0,1
165,INFJ,23.44,0.19032877645875634,0.16,0.56,0.34,0.0,0.04,0.68,0.0,2.08,1,0,0,0
166,INFJ,29.04,0.1805232245991535,0.14,0.28,0.08,0.02,0.02,0.82,0.0,3.04,1,0,0,0
167,INTJ,19.86,0.18943595061217472,0.1,0.3,0.12,0.06,0.0,0.34,0.0,2.7,1,0,1,0
168,ENFP,24.46,0.18715402778503532,0.0,0.16,0.24,0.0,0.0,0.66,0.0,2.72,0,0,0,1
169,INTJ,30.7,0.18652316753641707,0.02,0.24,0.04,0.0,0.0,0.68,0.0,3.44,1,0,1,0
170,INTJ,8.5,0.20083047600016976,0.06,0.16,0.08,0.02,0.0,0.04,0.0,1.06,1,0,1,0
171,INTP,21.5,0.18043127944190435,0.02,0.16,0.08,0.02,0.0,0.46,0.0,1.44,1,0,1,1
172,ISFJ,10.6,0.18770621377202829,0.12,0.2,0.06,0.02,0.04,0.2,0.0,1.44,1,1,0,0
173,INTP,27.68,0.1885445293666564,0.04,0.4,0.5,0.0,0.0,1.14,0.0,2.74,1,0,1,1
174,ISTP,23.84,0.18519678508481294,0.06,0.22,0.24,0.02,0.02,0.54,0.0,2.76,1,1,1,1
175,INTP,16.16,0.18360380201777698,0.24,0.32,0.02,0.0,0.0,0.26,0.0,1.9,1,0,1,1
176,INTP,23.3,0.18426563672058968,0.02,0.1,0.04,0.0,0.0,0.48,0.0,2.66,1,0,1,1
177,INTP,23.64,0.1816278661023239,0.18,0.5,0.04,0.0,0.08,0.58,0.0,3.1,1,0,1,1
178,INTP,22.36,0.17617558885659657,0.04,0.22,0.06,0.04,0.0,0.46,0.0,2.06,1,0,1,1
179,INFP,24.7,0.1920191083202421,0.12,0.2,0.12,0.02,0.0,0.74,0.04,2.96,1,0,0,1
180,ENTP,28.2,0.18033038179803604,0.06,0.18,0.3,0.02,0.04,0.68,0.0,2.5,0,0,1,1
181,INFP,17.9,0.18127100073046024,0.22,0.08,0.18,0.14,0.0,0.48,0.02,1.74,1,0,0,1
182,INTP,32.62,0.18443730081943624,0.1,0.22,0.14,0.1,0.02,1.0,0.0,4.1,1,0,1,1
183,INTJ,22.02,0.19137405986560088,0.0,0.38,0.06,0.0,0.0,0.5,0.0,3.56,1,0,1,0
184,ENTP,29.88,0.18851992848691548,0.04,0.4,0.12,0.0,0.0,0.78,0.0,1.9,0,0,1,1
185,INFJ,28.16,0.18106099834310377,0.12,0.16,0.18,0.08,0.0,0.8,0.0,2.42,1,0,0,0
186,INTJ,7.16,0.1941609416619957,0.0,0.0,0.08,0.0,0.0,0.08,0.0,1.02,1,0,1,0
187,INTP,24.74,0.17813536451648548,0.0,0.08,0.0,0.0,0.04,0.4,0.0,2.1,1,0,1,1
188,ISTP,24.42,0.18884450422366422,0.08,0.22,0.02,0.02,0.0,0.6,0.0,2.6,1,1,1,1
189,ISTJ,28.46,0.18663579775083997,0.0,0.32,0.14,0.0,0.0,0.78,0.0,3.34,1,1,1,0
190,INFP,25.46,0.18487689924634043,0.12,0.14,0.04,0.0,0.0,0.6,0.0,3.8,1,0,0,1
191,INTJ,24.38,0.1892201009125869,0.0,0.12,0.12,0.0,0.04,0.48,0.0,2.76,1,0,1,0
192,ENFP,19.86,0.1900078192846027,0.04,0.14,0.0,0.0,0.0,0.44,0.0,2.08,0,0,0,1
193,INFP,15.86,0.18581056077960711,0.3,0.08,0.02,0.24,0.04,0.18,0.0,2.56,1,0,0,1
194,INTP,30.24,0.1777347504120768,0.0,0.24,0.06,0.0,0.02,0.78,0.0,3.04,1,0,1,1
195,INTJ,23.14,0.18348273743762822,0.12,0.12,0.18,0.0,0.0,0.54,0.0,2.42,1,0,1,0
196,INTJ,14.62,0.1903208130447283,0.04,0.36,0.06,0.04,0.02,0.44,0.0,1.18,1,0,1,0
197,INFP,25.98,0.18667252323874287,0.0,0.2,0.2,0.0,0.04,1.08,0.0,3.2,1,0,0,1
198,INTP,30.9,0.18349200155097414,0.04,0.36,0.28,0.0,0.02,1.12,0.02,3.96,1,0,1,1
199,INTP,24.48,0.1807668528216652,0.06,0.16,0.0,0.0,0.02,0.42,0.0,2.28,1,0,1,1
200,ESFP,16.88,0.17519304871278701,0.22,0.26,0.1,0.1,0.0,0.38,0.0,1.26,0,1,0,1
201,INTJ,17.24,0.17615386154343518,0.26,0.22,0.02,0.04,0.0,0.32,0.0,1.82,1,0,1,0
202,ISFP,26.48,0.18761315872234968,0.02,0.18,0.2,0.02,0.04,0.8,0.0,2.88,1,1,0,1
203,INFJ,19.66,0.18851481206984777,0.06,0.4,0.34,0.02,0.0,0.4,0.0,2.48,1,0,0,0
204,INTJ,9.22,0.1791499147849783,0.66,0.26,0.0,0.22,0.02,0.18,0.0,1.94,1,0,1,0
205,INTJ,20.34,0.18617388357220485,0.12,0.3,0.28,0.12,0.0,0.42,0.0,2.26,1,0,1,0
206,INTP,28.88,0.1740914950939135,0.0,0.3,0.02,0.0,0.0,0.78,0.0,2.28,1,0,1,1
207,INTP,19.46,0.1857254486990951,0.16,0.24,0.04,0.06,0.0,0.62,0.0,1.88,1,0,1,1
208,INFP,21.42,0.18165639248965357,0.0,0.2,0.02,0.0,0.0,0.26,0.02,2.38,1,0,0,1
209,ENFP,17.66,0.18896793275343818,0.02,0.36,0.3,0.02,0.0,0.24,0.0,2.08,0,0,0,1
210,INFP,27.32,0.1805894498974653,0.02,0.16,0.1,0.0,0.02,0.5,0.0,2.6,1,0,0,1
211,INFP,21.64,0.1966448557432774,0.0,0.22,0.08,0.0,0.0,0.64,0.0,2.22,1,0,0,1
212,INFP,24.72,0.18139252061036878,0.06,0.24,0.02,0.02,0.0,0.98,0.0,2.48,1,0,0,1
213,INFP,10.26,0.1817682277318641,0.0,0.12,0.02,0.0,0.0,0.16,0.0,0.96,1,0,0,1
214,INTP,11.3,0.18297152027336352,0.24,0.4,0.98,0.14,0.0,0.18,0.0,1.28,1,0,1,1
215,INTP,27.46,0.1762713238180874,0.06,0.52,0.04,0.0,0.02,0.6,0.0,2.44,1,0,1,1
216,INFP,23.76,0.18482790321767661,0.18,0.42,0.1,0.0,0.0,0.64,0.0,2.86,1,0,0,1
217,INFP,25.96,0.18027222622092218,0.0,0.04,0.0,0.0,0.0,0.56,0.0,2.5,1,0,0,1
218,INFP,16.06,0.18291625321744817,0.26,0.26,0.06,0.06,0.06,0.28,0.02,1.38,1,0,0,1
219,INFJ,21.14,0.187540617383168,0.08,0.12,0.06,0.0,0.0,0.56,0.0,3.04,1,0,0,0
220,ENFP,21.84,0.18710975341951822,0.06,0.16,0.02,0.02,0.0,0.46,0.0,1.56,0,0,0,1
221,INTJ,21.12,0.17907734203070963,0.06,0.26,0.14,0.02,0.0,0.42,0.0,1.98,1,0,1,0
222,INFJ,27.32,0.18849026161597623,0.04,0.38,0.18,0.02,0.02,0.94,0.02,2.62,1,0,0,0
223,INFJ,20.08,0.18293921934395616,0.34,0.44,0.18,0.0,0.0,0.6,0.0,1.92,1,0,0,0
224,ENTP,12.14,0.1758102891413628,0.02,0.06,0.12,0.0,0.0,0.22,0.0,0.94,0,0,1,1
225,INTP,18.62,0.20907929503953093,0.0,0.12,0.14,0.0,0.0,1.74,0.0,2.38,1,0,1,1
226,INTP,29.74,0.1756600502974748,0.06,0.22,0.0,0.0,0.02,0.62,0.0,3.46,1,0,1,1
227,INFP,16.86,0.19500511658185768,0.02,0.22,0.54,0.0,0.04,0.56,0.08,2.24,1,0,0,1
228,INFP,24.3,0.1768805962350663,0.0,0.1,0.2,0.0,0.0,0.56,0.0,2.64,1,0,0,1
229,INFJ,24.58,0.18339807032207184,0.0,0.14,0.06,0.0,0.0,0.44,0.0,2.76,1,0,0,0
230,INTP,26.12,0.18122283781706344,0.22,0.22,0.14,0.0,0.08,0.68,0.02,2.6,1,0,1,1
231,INFP,29.94,0.18614318743500508,0.0,0.24,0.56,0.0,0.0,0.94,0.0,3.04,1,0,0,1
