,goodreads_book_id,book_id,book_title,book_series,authors,average_rating,work_ratings_count,main_genre,sec_genre
2601,112,1262,Children of Dune,Dune Chronicles #3),Frank Herbert,3.9,79736,science-fiction,science-fiction
2701,117,2491,Heretics of Dune,Dune Chronicles #5),Frank Herbert,3.83,43369,science-fiction,science-fiction
2801,119,3230,The Lord of the Rings: The Art of The Fellowship of the Ring,,Gary Russell,4.59,24412,fantasy,sci-fi-fantasy
2903,122,1597,The Power of One,The Power of One,Bryce Courtenay,4.34,60575,historical,classic
3003,231,4081,I am Charlotte Simmons,,Tom Wolfe,3.4,21580,coming-of-age,young adult
3111,249,1999,Tropic of Cancer,,Henry Miller,3.71,49701,classic,classic
3210,250,6787,Tropic of Capricorn,,Henry Miller,3.85,13487,classic,classic
3310,264,1783,The Portrait of a Lady,,"Henry James, Patricia Crick",3.76,59317,classic,classic
3410,275,4602,The Lover,,"Marguerite Duras, Barbara Bray, Maxine Hong Kingston",3.76,24857,classic,romance
3501,291,7242,The Broken Wings,,"Kahlil Gibran, Anthony R. Ferris",3.93,12435,classic,romance
3601,295,293,Treasure Island,,Robert Louis Stevenson,3.82,310515,classic,adventure
3710,304,5915,Daniel Deronda,,"George Eliot, Edmund White",3.82,19145,classic,classic
3811,320,94,One Hundred Years of Solitude,,"Gabriel García Márquez, Gregory Rabassa",4.04,575667,classic,classic
3901,343,397,Perfume: The Story of a Murderer,,"Patrick Süskind, John E. Woods",4.0,222754,historical,classic
4001,348,6123,The Door Into Summer,,Robert A. Heinlein,4.0,18028,science-fiction,science-fiction
4101,350,371,Stranger in a Strange Land,,Robert A. Heinlein,3.91,229222,science-fiction,science-fiction
4201,353,4034,Time Enough for Love,,Robert A. Heinlein,3.96,27482,science-fiction,science-fiction
4301,355,7904,Job: A Comedy of Justice,,Robert A. Heinlein,3.77,14901,science-fiction,science-fiction
4401,357,1727,The Long Dark Tea-Time of the Soul,Dirk Gently,Douglas Adams,4.05,63769,fantasy,science-fiction
4501,359,5072,The Salmon of Doubt,Dirk Gently,Douglas Adams,3.92,22414,science-fiction,science-fiction
4601,360,1332,Mostly Harmless,Hitchhiker's Guide to the Galaxy,Douglas Adams,3.96,83424,science-fiction,science-fiction
4701,365,1042,Dirk Gently's Holistic Detective Agency,Dirk Gently #1),Douglas Adams,3.97,96230,science-fiction,science-fiction
4801,378,561,The Phantom Tollbooth,,"Norton Juster, Jules Feiffer",4.22,185392,fantasy,children
4918,386,9759,Another Bullshit Night in Suck City,,Nick Flynn,3.77,8963,humor,0
5011,400,9232,Libra,,Don DeLillo,3.98,11342,historical,history
5101,415,3581,Gravity's Rainbow,,Thomas Pynchon,4.03,28232,science-fiction,historical
5210,424,5146,Slouching Towards Bethlehem,,Joan Didion,4.24,20348,history,classic
5308,428,5315,Play It as It Lays,,"Joan Didion, David Thomson",3.86,18447,classic,classic
5412,431,2337,The New York Trilogy,,"Paul Auster, Art Spiegelman",3.92,42965,mystery,crime
5512,432,8588,City of Glass,The New York Trilogy,Paul Auster,3.81,11176,mystery,crime
5610,446,5150,The Brooklyn Follies,,Paul Auster,3.81,18350,drama,humor
5721,447,6844,Moon Palace,,Paul Auster,3.99,14552,drama,romance
5807,449,9905,Timbuktu,,Paul Auster,3.66,9588,classic,drama
5917,456,7462,Leviathan,,Paul Auster,3.95,11794,mystery,crime
6033,475,1969,Collapse: How Societies Choose to Fail or Succeed,,Jared Diamond,3.92,47025,history,historical
6131,597,3598,Killing Yourself to Live: 85% of a True Story,,Chuck Klosterman,3.85,23614,humor,humor
6232,599,1392,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",,Chuck Klosterman,3.75,57867,humor,humor
6409,629,546,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,,Robert M. Pirsig,3.76,153992,classic,classic
6534,647,5120,No Logo,,Naomi Klein,3.86,20634,history,0
6612,656,498,War and Peace,,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",4.11,192992,classic,historical
6701,662,255,Atlas Shrugged,,"Ayn Rand, Leonard Peikoff",3.68,296645,classic,classic
6810,665,8688,The Virtue of Selfishness: A New Concept of Egoism,,"Ayn Rand, Nathaniel Branden",3.47,10682,classic,history
6901,667,903,Anthem,,Ayn Rand,3.62,106766,science-fiction,classic
7012,668,4298,We the Living,,"Ayn Rand, Leonard Peikoff",3.89,22571,classic,historical
7110,676,8492,Sailing Alone Around the Room: New and Selected Poems,,Billy Collins,4.24,11254,humor,classic
7253,698,6870,Digging to America,,Anne Tyler,3.53,17260,drama,chick lit
7301,703,3560,The Plot Against America,,Philip Roth,3.71,29204,historical,history
7426,706,1096,America,The Book): A Citizen's Guide to Democracy Inaction,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",4.02,79555,humor,history
7510,760,1853,Memories of My Melancholy Whores,,"Gabriel García Márquez, Edith Grossman",3.59,50285,classic,romance
7638,771,1224,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",,Brian Greene,4.06,69530,history,0
7701,816,1142,Cryptonomicon,,Neal Stephenson,4.25,81409,science-fiction,science-fiction
7801,822,5306,The Confusion,The Baroque Cycle,Neal Stephenson,4.24,19175,historical,science-fiction
7901,823,3314,Quicksilver,The Baroque Cycle,Neal Stephenson,3.92,30689,historical,science-fiction
8001,825,7003,Zodiac,,Neal Stephenson,3.7,14803,science-fiction,science-fiction
8101,827,1519,"The Diamond Age: or, A Young Lady's Illustrated Primer",,Neal Stephenson,4.19,66621,science-fiction,science-fiction
8201,830,442,Snow Crash,,Neal Stephenson,4.02,187292,science-fiction,science-fiction
8308,840,6937,The Design of Everyday Things,,Donald A. Norman,4.18,15202,history,classic
8401,865,35,The Alchemist,,"Paulo Coelho, Alan R. Clarke",3.82,1403995,classic,fantasy
8501,870,893,"Fullmetal Alchemist, Vol. 1",Fullmetal Alchemist,"Hiromu Arakawa, Akira Watanabe",4.49,94768,science-fiction,young adult
8608,880,4268,Pompeii,,Robert   Harris,3.79,26679,historical,historical
8703,890,32,Of Mice and Men,,John Steinbeck,3.84,1518741,classic,classic
8821,900,4908,The Game: Penetrating the Secret Society of Pickup Artists,,Neil Strauss,3.73,19145,romance,romance
8901,902,857,The Westing Game,,Ellen Raskin,4.03,124343,mystery,young adult
9001,903,4937,The Egypt Game,Game,Zilpha Keatley Snyder,3.81,28206,young adult,children
9112,930,33,Memoirs of a Geisha,,Arthur Golden,4.08,1418172,historical,romance
9206,952,7994,The Five Love Languages of Children,,"Gary Chapman, D. Ross Campbell",4.21,12513,children,romance
9301,960,9,Angels & Demons ,Robert Langdon,Dan Brown,3.85,2078754,mystery,thriller
9401,968,26,The Da Vinci Code,Robert Langdon,Dan Brown,3.79,1557292,thriller,suspense
9501,976,145,Deception Point,,Dan Brown,3.67,479733,thriller,mystery
9709,1005,680,Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century,,Napoleon Hill,4.17,117444,classic,0
9826,1032,9670,Trump: The Art of the Deal,,"Donald J. Trump, Tony Schwartz",3.66,10055,history,0
9911,1052,1684,The Richest Man in Babylon,,George S. Clason,4.23,55675,classic,history
10009,1067,687,1776,,David McCullough,4.06,135378,history,historical
10103,1078,461,The Good Earth,House of Earth,Pearl S. Buck,3.97,193405,drama,young adult
10229,1097,398,Fast Food Nation: The Dark Side of the All-American Meal,,Eric Schlosser,3.73,183361,history,0
10303,1103,273,Snow Flower and the Secret Fan,,Lisa See,4.05,290660,historical,historical
10407,1110,1301,The Broker,,John Grisham,3.77,69823,thriller,mystery
10524,1171,1683,Liar's Poker,,Michael   Lewis,4.16,53700,history,humor
10829,1202,92,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Freakonomics,"Steven D. Levitt, Stephen J. Dubner",3.93,549301,history,humor
10901,1232,258,The Shadow of the Wind,The Cemetery of Forgotten Books,"Carlos Ruiz Zafón, Lucia Graves",4.24,317554,historical,mystery
11076,1241,383,A Million Little Pieces,,James Frey,3.62,189931,drama,0
11109,1274,573,"Men Are from Mars, Women Are from Venus",,John Gray,3.52,129520,romance,romance
11201,1295,496,The Clan of the Cave Bear,Earth's Children,Jean M. Auel,4.02,187874,historical,romance
11344,1301,1154,Moneyball: The Art of Winning an Unfair Game,,Michael   Lewis,4.24,71498,history,historical
11410,1303,2474,The 48 Laws of Power,,"Robert Greene, Joost Elffers",4.18,40152,history,historical
11501,1305,4731,Gates of Fire: An Epic Novel of the Battle of Thermopylae,,Steven Pressfield,4.4,21093,historical,history
11601,1307,7274,Fire Sea,The Death Gate Cycle,"Margaret Weis, Tracy Hickman",4.05,15554,fantasy,sci-fi-fantasy
11811,1362,3404,The Histories,,"Herodotus, Aubrey de Sélincourt, John M. Marincola",3.97,31985,history,classic
11901,1371,341,The Iliad,,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",3.83,273565,classic,classic
12001,1375,2142,The Iliad/The Odyssey,,"Homer, Robert Fagles, Bernard Knox",4.03,51098,classic,classic
12101,1381,79,The Odyssey,,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",3.73,710757,classic,classic
12201,1420,125,Hamlet,,"William Shakespeare, Richard Andrews, Rex Gibson",4.0,576894,classic,drama
12301,1426,4160,Warrior of the Light,,Paulo Coelho,3.69,22985,fantasy,classic
12401,1427,1506,The Zahir,,"Paulo Coelho, Margaret Jull Costa",3.56,56047,romance,romance
12501,1428,1206,By the River Piedra I Sat Down and Wept,,"Paulo Coelho, Alan R. Clarke",3.57,70825,romance,romance
12611,1430,708,Eleven Minutes,,"Paulo Coelho, Margaret Jull Costa",3.69,116141,romance,drama
12703,1431,629,Veronika Decides to Die,,"Paulo Coelho, Margaret Jull Costa",3.69,132191,romance,drama
12801,1519,4149,The Oresteia ,Ορέστεια,"Aeschylus, Robert Fagles, William Bedell Stanford",3.99,28162,classic,drama
12901,1524,9281,Agamemnon,Oresteia,"Aeschylus, Judith Affleck, Philip de May, Patricia E. Easterling, John     Harrison",3.82,11932,classic,drama
13001,1540,2052,The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone,The Theban Plays,"Sophocles, Dudley Fitts, Elena Bono, Robert Fitzgerald",3.96,50789,classic,drama
13101,1554,824,Oedipus Rex ,The Theban Plays,"Sophocles, J.E. Thomas",3.67,134384,drama,classic
13216,1591,4537,Lysistrata,,"Aristophanes, Sarah Ruden",3.84,28283,drama,classic
13303,1617,87,Night,The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",4.3,707879,classic,history
13403,1618,60,The Curious Incident of the Dog in the Night-Time,,Mark Haddon,3.85,915790,young adult,classic
13501,1622,248,A Midsummer Night's Dream,,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",3.94,361510,classic,drama
13608,1624,4691,West with the Night,,Beryl Markham,4.18,21928,adventure,history
13701,1625,855,Twelfth Night,,William Shakespeare,3.97,128893,classic,drama
13810,1627,6066,Brokeback Mountain,,Annie Proulx,3.93,21992,romance,drama
14101,1715,2366,Metamorphoses,,"Ovid, David Raeburn, Denis Feeney",4.03,47948,classic,fantasy
14234,1823,8930,Them: Adventures with Extremists,,Jon Ronson,3.94,11362,humor,history
14311,1824,9949,The Men Who Stare at Goats,,Jon Ronson,3.58,10662,history,humor
14409,1842,408,"Guns, Germs, and Steel: The Fates of Human Societies",,Jared Diamond,4.0,185443,history,historical
14503,1845,82,Into the Wild,,Jon Krakauer,3.94,665377,adventure,classic
14607,1846,1625,Wild at Heart: Discovering the Secret of a Man's Soul,,John Eldredge,3.93,52613,adventure,romance
14710,1848,1487,Wild Swans: Three Daughters of China,,Jung Chang,4.23,67548,history,historical
14808,1849,5013,Wild Fire,John Corey,Nelson DeMille,3.99,20172,mystery,suspense
14901,1852,375,The Call of the Wild,,Jack London,3.83,248795,classic,classic
15024,1869,508,Nickel and Dimed: On,Not) Getting By in America,Barbara Ehrenreich,3.6,157470,history,0
15107,1875,6820,"The History of Sexuality, Volume 1: An Introduction",,"Michel Foucault, Robert Hurley",4.03,13935,classic,history
15202,1885,10,Pride and Prejudice,,Jane Austen,4.24,2191465,classic,romance
15306,1897,6251,Eiger Dreams: Ventures Among Men and Mountains,,Jon Krakauer,3.97,15074,adventure,history
15408,1898,236,Into Thin Air: A Personal Account of the Mount Everest Disaster,,Jon Krakauer,4.11,301593,adventure,history
15538,1911,969,The World Is Flat: A Brief History of the Twenty-first Century,,Thomas L. Friedman,3.66,83905,history,historical
15603,1934,42,Little Women,Little Women,Louisa May Alcott,4.04,1314293,classic,classic
15703,1953,83,A Tale of Two Cities,,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",3.81,677713,classic,classic
15810,1990,8357,Martin Chuzzlewit,,"Charles Dickens, Patricia Ingham, Hablot Knight Browne",3.82,12637,classic,classic
15901,2002,9048,Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,,J.K. Rowling,4.4,11732,fantasy,young adult
16011,2049,8850,The High Window,Philip Marlowe,Raymond Chandler,4.08,12235,mystery,crime
16111,2050,4444,"Farewell, My Lovely",Philip Marlowe,Raymond Chandler,4.17,24020,mystery,classic
16218,2052,1160,The Big Sleep,Philip Marlowe,Raymond Chandler,4.04,90652,classic,thriller
16311,2054,4443,The Long Goodbye,Philip Marlowe,Raymond Chandler,4.23,24917,mystery,crime
16427,2067,8915,Breaking the Spell: Religion as a Natural Phenomenon,,Daniel C. Dennett,3.89,9366,history,0
16527,2068,8375,Darwin's Dangerous Idea: Evolution and the Meanings of Life,,Daniel C. Dennett,4.03,11292,history,0
16610,2094,4119,A Briefer History of Time,,"Stephen Hawking, Leonard Mlodinow",4.19,22637,history,classic
16723,2095,3696,The Universe in a Nutshell,,Stephen Hawking,4.13,25207,history,science-fiction
16812,2122,287,The Fountainhead,,"Ayn Rand, Leonard Peikoff",3.85,254976,classic,classic
16903,2137,6889,A Home at the End of the World,,Michael Cunningham,3.89,14967,romance,coming-of-age
17001,2142,6961,Blink,,Ted Dekker,4.17,14057,suspense,adventure
17109,2152,2136,The Jane Austen Book Club,,Karen Joy Fowler,3.07,56833,chick lit,romance
17212,2156,230,Persuasion,,"Jane Austen, James Kinsley, Deidre Shauna Lynch",4.13,402359,classic,romance
17335,2159,3123,Confessions of an Economic Hit Man,,John Perkins,3.83,26245,history,crime
17403,2165,130,The Old Man and the Sea,,Ernest Hemingway,3.73,574328,classic,classic
17511,2175,560,Madame Bovary,,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",3.64,186553,classic,classic
17609,2183,7952,Sentimental Education,,"Gustave Flaubert, Robert Baldick, Geoffrey Wall",3.83,13782,classic,classic
17711,2187,115,Middlesex,,Jeffrey Eugenides,3.98,507998,historical,classic
17833,2199,870,Team of Rivals: The Political Genius of Abraham Lincoln,,"Doris Kearns Goodwin, Suzanne Toren",4.3,107944,history,historical
17908,2203,366,John Adams,,David McCullough,4.05,220127,history,historical
18001,2255,2439,Way of the Peaceful Warrior: A Book That Changes Lives,,Dan Millman,4.13,36716,fantasy,classic
18107,2265,2650,It's Not About the Bike: My Journey Back to Life,,"Lance Armstrong, Sally Jenkins",3.72,33545,adventure,0
18228,2279,2174,Truman,,David McCullough,4.15,54704,history,historical
18328,2368,5180,Mornings on Horseback,,David McCullough,4.1,18950,history,historical
18430,2371,7738,The Johnstown Flood,,David McCullough,4.11,13740,history,historical
18507,2372,8721,"The Path Between the Seas: The Creation of the Panama Canal, 1870-1914",,David McCullough,4.19,11891,history,historical
18619,2373,726,The Bone Collector,Lincoln Rhyme,Jeffery Deaver,4.18,125250,mystery,thriller
18708,2430,7645,The List,,Steve Martini,3.95,11850,mystery,thriller
18801,2442,2489,Witches Abroad,Discworld,Terry Pratchett,4.2,54661,fantasy,humor
18901,2493,298,The Time Machine,,"H.G. Wells, Greg Bear, Carlo Pagetti",3.87,303730,classic,science-fiction
19010,2517,3048,My Name is Red,,"Orhan Pamuk, Erdağ M. Göknar",3.83,33212,historical,mystery
19101,2526,653,Blindness,,"José Saramago, Giovanni Pontiero",4.08,133257,science-fiction,science-fiction
19201,2528,7651,All the Names,,"José Saramago, Margaret Jull Costa",3.88,12630,classic,romance
19301,2530,8532,Baltasar and Blimunda,,"José Saramago, Giovanni Pontiero",3.9,11867,historical,classic
19412,2547,489,The Prophet,,Kahlil Gibran,4.22,164552,classic,classic
19539,2612,127,The Tipping Point: How Little Things Can Make a Big Difference,,Malcolm Gladwell,3.92,499066,history,0
19703,2623,160,Great Expectations,,Charles Dickens,3.75,507187,classic,classic
19803,2657,4,To Kill a Mockingbird,,Harper Lee,4.25,3340896,classic,classic
19911,2666,1739,The Bonfire of the Vanities,,Tom Wolfe,3.81,56076,classic,humor
20010,2677,8906,A Modest Proposal and Other Satirical Works,,Jonathan Swift,4.04,12988,humor,classic
20101,2696,646,The Canterbury Tales,,"Geoffrey Chaucer, Nevill Coghill",3.48,158661,classic,historical
20233,2715,2498,Salt: A World History,,Mark Kurlansky,3.73,40735,history,historical
20303,2743,1897,The Lost Boy,Dave Pelzer #2),Dave Pelzer,4.08,50258,young adult,drama
20401,2744,666,Anansi Boys,,Neil Gaiman,4.0,153465,fantasy,fantasy
20534,2748,4510,Microserfs,,Douglas Coupland,3.88,21243,humor,humor
20610,2767,663,A People's History of the United States,,Howard Zinn,4.07,142326,history,historical
20710,2784,462,Ways of Seeing,,John Berger,3.75,156859,history,classic
20812,2794,1797,The Crying of Lot 49,,Thomas Pynchon,3.7,54779,classic,mystery
20901,2839,245,Bridge to Terabithia,,Katherine Paterson,3.98,353474,young adult,children
21003,2865,148,Girl with a Pearl Earring,,Tracy Chevalier,3.85,492177,historical,historical
21110,2872,6299,Falling Angels,,Tracy Chevalier,3.55,19931,historical,historical
21201,2873,4842,The Virgin Blue,,Tracy Chevalier,3.65,24715,historical,historical
21301,2879,5523,"Bleach, Volume 15",,Tite Kubo,4.41,17168,fantasy,action
21401,2880,720,"Bleach, Volume 01",,Tite Kubo,4.21,120433,fantasy,young adult
21503,2915,6755,The River,Brian's Saga,Gary Paulsen,3.77,16545,young adult,adventure
21601,2932,478,Robinson Crusoe,,"Daniel Defoe, Gerald McCann, Virginia Woolf",3.66,196865,classic,classic
21703,2956,58,The Adventures of Huckleberry Finn,,"Mark Twain, John Seelye, Guy Cardwell",3.8,1001491,classic,classic
21803,2978,8838,Lost Horizon,,James Hilton,3.9,13070,classic,historical
21901,2998,93,The Secret Garden,,Frances Hodgson Burnett,4.12,692249,classic,children
22001,3008,540,A Little Princess,,"Frances Hodgson Burnett, Nancy Bond",4.2,215833,classic,children
22108,3028,9732,Economics in One Lesson: The Shortest & Surest Way to Understand Basic Economics,,Henry Hazlitt,4.22,10129,classic,history
22201,3049,3022,Sir Gawain and the Green Knight ,,"Unknown, Burton Raffel, Neil D. Isaacs",3.68,42642,classic,fantasy
22318,3061,3499,The Natural Way to Draw,,"Kimon Nicolaides, Mamie Harmon",3.88,30957,history,0
22412,3087,829,A Room with a View,,E.M. Forster,3.91,122055,classic,romance
22512,3102,1949,Howards End,,E.M. Forster,3.95,58759,historical,classic
22610,3103,6128,Maurice,,E.M. Forster,4.02,18288,classic,romance
22703,3109,550,The Omnivore's Dilemma: A Natural History of Four Meals,,Michael Pollan,4.17,147664,history,young adult
22826,3110,2897,Assassination Vacation,,Sarah Vowell,3.98,34125,history,humor
22903,3273,1216,Moloka'i,,Alan Brennert,4.15,81313,historical,historical
23001,3291,8295,The Stories of Eva Luna,,Isabel Allende,3.96,13067,romance,historical
23108,3300,5774,Inés of My Soul,,"Isabel Allende, Margaret Sayers Peden",3.9,17411,historical,historical
23201,3304,5045,City of the Beasts,Eagle and Jaguar,"Isabel Allende, Margaret Sayers Peden",3.69,22122,fantasy,young adult
23411,3378,4238,Generation X: Tales for an Accelerated Culture,,Douglas Coupland,3.73,22904,classic,humor
23528,3379,7749,All Families are Psychotic,,Douglas Coupland,3.69,11830,humor,humor
23603,3381,5808,Hey Nostradamus!,,Douglas Coupland,3.72,16109,young adult,drama
23701,3384,5948,Girlfriend in a Coma,,Douglas Coupland,3.61,16315,science-fiction,science-fiction
23809,3388,1458,Corelli's Mandolin,,Louis de Bernières,3.95,65596,history,classic
23911,3412,311,The Thorn Birds,,Colleen McCullough,4.22,266826,historical,romance
24003,3431,132,The Five People You Meet in Heaven,,Mitch Albom,3.9,474699,young adult,classic
24101,3446,9743,Going After Cacciato,,Tim O'Brien,3.9,9686,historical,classic
24211,3447,7155,In the Lake of the Woods,,Tim O'Brien,3.78,13658,mystery,historical
24303,3462,552,The Rescue,,Nicholas Sparks,4.1,148370,romance,chick lit
24403,3463,683,A Bend in the Road,,Nicholas Sparks,4.02,123173,romance,chick lit
24503,3464,1414,True Believer,Jeremy Marsh & Lexie Darnell,Nicholas Sparks,3.8,67625,romance,chick lit
24603,3465,3119,Three Weeks With My Brother,,"Nicholas Sparks, Micah Sparks",4.01,33910,romance,chick lit
24703,3466,686,The Wedding,The Notebook,Nicholas Sparks,3.98,124358,romance,chick lit
24801,3467,3084,The People of Sparks,Book of Ember,Jeanne DuPrau,3.65,43334,young adult,fantasy
24906,3473,107,A Walk to Remember,,Nicholas Sparks,4.15,559581,drama,romance
25003,3476,2820,Icy Sparks,,Gwyn Hyman Rubio,3.68,34951,historical,coming-of-age
25103,3478,420,Message in a Bottle,,Nicholas Sparks,3.95,192001,romance,chick lit
25203,3483,2914,Special Topics in Calamity Physics,,Marisha Pessl,3.7,34307,mystery,young adult
25308,3507,1627,Twelve Sharp,Stephanie Plum,Janet Evanovich,4.14,79373,mystery,humor
25427,3559,9946,From Beirut to Jerusalem,,Thomas L. Friedman,4.1,8600,history,historical
25503,3562,4014,Emily of New Moon,Emily,L.M. Montgomery,4.09,34636,classic,young adult
25604,3579,958,The Complete Anne of Green Gables Boxed Set,Anne of Green Gables,L.M. Montgomery,4.42,93067,children,young adult
25709,3581,5508,"Sherlock Holmes: The Complete Novels and Stories, Volume I",,Arthur Conan Doyle,4.45,18082,classic,mystery
25810,3586,1320,"The Complete Sherlock Holmes, Vol 2",,"Arthur Conan Doyle, Kyle Freeman",4.46,71825,classic,mystery
25903,3590,514,The Adventures of Sherlock Holmes,,Arthur Conan Doyle,4.29,184991,classic,mystery
26001,3636,36,The Giver,The Giver,Lois Lowry,4.12,1345445,children,classic
26121,3648,4614,The Emperor's Children,,Claire Messud,2.93,17593,historical,coming-of-age
26209,3656,5556,The Sea,,John Banville,3.49,18999,classic,drama
26310,3679,1928,On Beauty,,Zadie Smith,3.68,49803,drama,classic
26401,3682,586,A Great and Terrible Beauty,Gemma Doyle,Libba Bray,3.79,182107,fantasy,young adult
26501,3685,497,Black Beauty,,Anna Sewell,3.94,195205,classic,children
26711,3690,4605,The Power and the Glory,,"Graham Greene, John Updike",3.99,23229,classic,historical
26810,3692,4983,The Heart of the Matter,,Graham Greene,3.98,21135,classic,classic
26910,3698,3106,The Quiet American,,"Graham Greene, Robert  Stone",3.96,34078,classic,historical
27031,3710,9579,The Autograph Man,,Zadie Smith,3.14,9456,humor,humor
27112,3711,1005,White Teeth,,Zadie Smith,3.75,90629,classic,humor
27228,3717,4369,Stranger than Fiction,,Chuck Palahniuk,3.56,20204,humor,drama
27308,3750,7427,Moonraker,James Bond,Ian Fleming,3.7,14685,thriller,adventure
27408,3757,8334,Doctor No,James Bond,Ian Fleming,3.76,13460,thriller,adventure
27509,3758,2506,Casino Royale,James Bond,Ian Fleming,3.73,46774,thriller,mystery
27608,3759,7089,Goldfinger,James Bond,Ian Fleming,3.8,15321,thriller,adventure
27708,3760,8837,Diamonds Are Forever,James Bond,Ian Fleming,3.59,12359,thriller,mystery
27808,3762,8864,On Her Majesty's Secret Service,James Bond,Ian Fleming,3.94,13203,thriller,adventure
27908,3763,6223,Live and Let Die,James Bond,Ian Fleming,3.62,17626,thriller,mystery
28008,3764,4560,From Russia With Love,James Bond,Ian Fleming,3.88,22430,thriller,mystery
28111,3805,658,The Corrections,,Jonathan Franzen,3.78,131271,classic,humor
28211,3832,4586,Cover Her Face,Adam Dalgliesh #1),P.D. James,3.94,24819,mystery,mystery
28301,3836,597,Don Quixote,,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",3.85,159253,classic,adventure
28408,3858,6351,Holy Cow: An Indian Adventure,,Sarah Macdonald,3.51,14205,adventure,humor
